scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity,lidar,lidar_error,R_lidar,ultrasonic,ultrasonic_error,surface_echo,bottom_echo,measurement_type,bottom_confidence,echo_ambiguity,R_ultrasonic,radar,radar_error,snr,rcs,clutter_probability,R_radar,imu_pitch,imu_roll,imu_acceleration,R_imu,water_state,R_water,water_contact,surface_sigma,bottom_sigma
SC001,Urban,Asphalt,Mist,Dusk,9.36,12.0,3.0,97.0,99.48,Moderate,11.98,-0.02,0.679,12.34,0.34,0.263,0.711,Bottom,0.598,0.552,0.518,11.96,-0.04,26.05,0.8869204367171575,0.13,0.873,6.519,0.251,9.921,0.972,Flooded Pothole,0.95,True,0.366,0.172
SC002,Urban,Mud,Foggy,Night_Streetlights,4.19,6.0,0.0,123.0,130.9,Low,6.34,0.34,0.77,5.93,-0.07,0.0,1.0,Bottom,1.0,0.0,1.0,6.4,0.4,29.3,1.0,0.076,1.0,4.664,2.001,9.974,0.963,Dry,0.98,False,0.0,0.15
SC003,Urban,Mud,Foggy,Daylight,7.89,18.0,7.0,214.0,215.21,Severe,16.53,-1.47,0.42,18.12,0.12,0.363,0.585,Bottom,0.42,0.778,0.363,17.78,-0.22,22.07,0.7557837414557255,0.233,0.727,-0.302,2.347,10.541,0.95,Flooded Pothole,0.95,True,0.414,0.203
SC004,Urban,Asphalt,Mist,Night_Streetlights,4.15,15.0,8.0,99.0,94.46,Moderate,14.29,-0.71,0.502,11.49,-3.51,0.382,0.562,Surface,0.387,0.82,0.25,15.01,0.01,18.26,0.7261490370736909,0.229,0.695,5.821,0.885,9.421,0.982,Flooded Pothole,0.95,True,0.426,0.21
SC005,Urban,Gravel,Clear,Night_Streetlights,8.04,8.0,5.0,44.0,41.28,Moderate,8.14,0.14,0.674,6.6,-1.4,0.319,0.641,Mixed,0.498,0.678,0.345,7.95,-0.05,23.1,0.8187307530779818,0.158,0.797,1.02,1.694,9.413,0.964,Flooded Pothole,0.95,True,0.39,0.188
SC006,Rural,Asphalt,Foggy,Dawn,4.93,17.0,2.0,241.0,250.26,Moderate,17.02,0.02,0.535,17.18,0.18,0.23,0.752,Bottom,0.659,0.478,0.594,16.79,-0.21,27.91,0.9231163463866358,0.14,0.913,8.542,0.001,9.55,0.975,Shallow Puddle,0.9,True,0.354,0.165
SC007,Rural,Mud,Foggy,Daylight,9.73,7.0,0.0,158.0,148.2,Low,6.38,-0.62,0.743,7.03,0.03,0.0,1.0,Bottom,1.0,0.0,1.0,7.1,0.1,30.26,1.0,0.08,1.0,-2.84,0.769,9.414,0.918,Dry,0.98,False,0.0,0.15
SC008,Urban,Asphalt,Thunderstorm,Dawn,8.36,17.0,8.0,366.0,365.42,Severe,16.75,-0.25,0.292,12.23,-4.77,0.382,0.562,Surface,0.387,0.82,0.25,17.44,0.44,20.92,0.7261490370736909,0.283,0.695,8.544,1.344,9.245,0.975,Flooded Pothole,0.95,True,0.426,0.21
SC009,Urban,Gravel,Drizzle,Dusk,9.02,11.0,10.0,148.0,139.18,Severe,11.47,0.47,0.405,5.77,-5.23,0.413,0.521,Surface,0.331,0.892,0.25,11.14,0.14,19.55,0.6703200460356393,0.278,0.635,4.211,2.149,10.194,0.965,Flooded Pothole,0.95,True,0.45,0.225
SC010,Urban,Asphalt,Foggy,Daylight,4.7,10.0,7.0,197.0,201.66,Moderate,9.46,-0.54,0.431,10.31,0.31,0.363,0.585,Bottom,0.42,0.778,0.355,10.21,0.21,20.88,0.7557837414557255,0.23,0.727,1.778,0.366,10.345,0.982,Flooded Pothole,0.95,True,0.414,0.203
