scenario_id,road_environment,road_type,weather,lighting,vehicle_speed,true_depth,water_depth,true_ntu,ntu,severity_level,severity_score,lidar,ultrasonic,surface_echo,bottom_echo,radar,snr,rcs,clutter_probability,imu_pitch,imu_roll,imu_acceleration,water_state,water_contact,R_lidar,R_ultrasonic,R_radar,R_imu,R_water,scene_complexity,measurement_spread,measurement_consistency,sensor_agreement,W_lidar,W_ultrasonic,W_radar,fusion_entropy,fusion_confidence,effective_sensor_count,dominant_sensor,dominance_ratio,water_depth_estimate,fusion_depth_linear
SC00001,Urban,Concrete,Clear,Daylight,22.8,13.31,0.0,70.63,73.11,2,0.5,13.26,13.41,0.0,1.0,13.48,29.65,1.0,0.065,16.789,1.809,7.445,Dry,False,0.850197756868777,0.879999999362,0.909913061123006,0.935,0.98,0.0523752682491638,0.1123981020005827,0.9931894661169368,0.9931894661169368,0.320106122972209,0.3329978275451895,0.3468960494826016,1.0980738862448605,0.941109362805724,2.996772306062893,radar,1.0622996514007403,0.0,13.386266805017952
SC00002,Urban,Asphalt,Rainy,Dusk,33.82,8.12,4.25,103.63,102.46,2,0.5,9.01,8.16,0.3,0.666,8.54,24.2,0.8436648165963837,0.155,11.693,3.193,9.514,Flooded Pothole,True,0.482217325131051,0.4756932996714255,0.7094818238748674,0.882,0.95,0.2594757226677461,0.4257933771208752,0.9610145618966802,0.9610145618966802,0.2825041287969866,0.2790613330455513,0.438434538157462,1.0747842591463528,0.751475679054234,2.8578887282310297,radar,1.5614725902742104,9.635,8.566733633977273
SC00003,Urban,Asphalt,Clear,Night_Streetlights,34.37,11.79,0.0,53.5,54.71,2,0.5,11.11,11.53,0.0,1.0,11.73,28.48,1.0,0.061,-1.931,6.22,9.451,Dry,False,0.8734737860923434,0.879999999362,0.9095716417476568,0.879,0.98,0.0533417179433456,0.3164385143014889,0.9779453576570192,0.9779453576570192,0.3268237058914617,0.3297610571404946,0.3434152369680437,1.0983781446062582,0.9442163310608548,2.998589632669429,radar,1.046065203771058,0.0,11.461417090919197
SC00004,Rural,Concrete,Drizzle,Night_Streetlights,46.74,5.34,1.17,81.9,83.47,2,0.5,4.98,4.17,0.199,0.79,5.31,28.7,0.9542782341529094,0.09,13.452,-2.007,8.472,Shallow Puddle,True,0.5232319122227815,0.5830119418912065,0.7844739991851493,0.806,0.9,0.185940885771931,0.5866003750424985,0.9096129327975284,0.9096129327975284,0.2699326530287785,0.3039117808273769,0.4261555661438445,1.0789532401454762,0.7993367234172021,2.8832189009877744,radar,1.4852651380746262,8.7,4.874462794357293
SC00005,Urban,Asphalt,Clear,Night_Dark,38.07,12.26,0.0,18.5,11.38,2,0.5,12.09,12.28,0.0,1.0,12.14,30.56,1.0,0.052,13.269,-0.833,10.407,Dry,False,0.9304485704725404,0.879999999362,0.9199413364306316,0.86,0.98,0.0232894492608598,0.0984885780179606,0.993435684965983,0.993435684965983,0.3415698947431322,0.32071677792146,0.3377133273354077,1.0982408669600123,0.959098872391541,2.997785810562675,lidar,1.0375281810932415,0.0,12.167821854171848
SC00006,Urban,Concrete,Mist,Night_Streetlights,24.31,8.22,1.59,106.45,103.45,2,0.5,8.11,8.56,0.215,0.77,8.22,26.51,0.938380276580948,0.102,-0.463,3.167,9.621,Shallow Puddle,True,0.5024653592451568,0.5651205101135051,0.7675730060871523,0.931,0.9,0.198558075474277,0.2345918441321725,0.977434177963207,0.977434177963207,0.2667958672756609,0.3033399414801874,0.4298641912441517,1.077292637887231,0.7881418045433126,2.8737417718404457,radar,1.5079361255371573,8.847,8.293788034702942
SC00007,Rural,Asphalt,Cloudy,Daylight,59.61,8.42,0.0,64.98,69.09,2,0.5,7.97,8.45,0.0,1.0,8.2,28.01,1.0,0.064,11.42,5.025,8.057,Dry,False,0.8552369812168745,0.879999999362,0.9062953420115276,0.68,0.98,0.0607606321295995,0.2400694344004109,0.9766722268201312,0.9766722268201312,0.3219882115937942,0.3327582186806267,0.3452535697255791,1.098205854262666,0.9397270861922102,2.997561772045574,radar,1.0546176466508412,0.0,8.209132266003584
SC00008,Urban,Concrete,Clear,Daylight,21.67,12.04,0.0,32.01,32.99,2,0.5,12.28,12.07,0.0,1.0,12.03,29.55,1.0,0.057,-8.197,1.248,8.132,Dry,False,0.901650463541508,0.879999999362,0.9147673398765304,0.939,0.98,0.0356245656075368,0.134288247189891,0.9910393025562626,0.9910393025562626,0.3342167767070623,0.3252306509689909,0.3405525723239467,1.0984342132260627,0.952255249546072,2.998933417226808,radar,1.0328422191987283,0.0,12.126563420215524
SC00009,Urban,Dirt,Rainy,Night_Streetlights,28.36,11.13,5.0,146.48,139.09,2,0.5,10.79,8.25,0.319,0.641,11.33,24.49,0.8187307530779818,0.178,5.836,3.731,8.905,Flooded Pothole,True,0.4494943162565966,0.4561283894869915,0.6931105635342113,0.794,0.95,0.3137804128544128,1.644668152951632,0.8828848257779705,0.8828848257779705,0.2737430465511337,0.2788022375953766,0.4474547158534897,1.0705870015487688,0.7282498401370278,2.833811151031528,radar,1.619612830622676,9.815,10.323467863068627
SC00010,Urban,Concrete,Mist,Night_Dark,22.92,8.96,0.0,138.47,136.54,2,0.5,8.65,9.05,0.0,1.0,9.09,31.4,1.0,0.077,-0.172,-1.944,8.861,Dry,False,0.7740245115332438,0.879999999362,0.9053899120571218,0.935,0.98,0.0823861245835772,0.2433105012119287,0.9782375349029832,0.9782375349029832,0.2981187401938174,0.3444974147508786,0.3573838450553041,1.09565059127105,0.9224597877558596,2.9826131720919467,radar,1.1122778109583893,0.0,8.945047857724685
SC00011,Urban,Asphalt,Clear,Night_Dark,21.37,15.46,0.0,25.57,21.37,2,0.5,15.36,15.51,0.0,1.0,15.56,29.28,1.0,0.054,-6.989,1.81,9.128,Dry,False,0.9170401596036653,0.879999999362,0.9160533196032692,0.934,0.98,0.0304999126761645,0.1040832999733071,0.9945389045002436,0.9945389045002436,0.3383678800267316,0.3229940279357005,0.3386380920375679,1.0983704341313365,0.9554534411369804,2.9985571989726645,radar,1.0240628858708924,0.0,15.47617672259787
