scenario_id,road_environment,road_type,pothole_depth,water_depth,ntu,weather,lighting,vehicle_speed,severity,temperature_c,relative_humidity_pct,ambient_lux,water_conductivity_factor,road_roughness_factor,surface_reflectance_prior,radar_return_strength_prior
SC00001,Urban,Concrete,13.31,0.0,70.63,Clear,Daylight,22.8,Moderate,25.63,35.43,21902.373,0.828,0.9,0.45,0.95
SC00002,Urban,Asphalt,8.12,4.25,103.63,Rainy,Dusk,33.82,Moderate,22.56,85.1,1216.276,1.372,1.0,0.18,0.8
SC00003,Urban,Asphalt,11.79,0.0,53.5,Clear,Night_Streetlights,34.37,Moderate,33.8,49.36,105.596,1.006,1.0,0.18,0.8
SC00004,Rural,Concrete,5.34,1.17,81.9,Drizzle,Night_Streetlights,46.74,Moderate,18.15,76.91,119.774,0.901,1.035,0.45,0.95
SC00005,Urban,Asphalt,12.26,0.0,18.5,Clear,Night_Dark,38.07,Moderate,22.0,49.38,4.536,0.902,1.0,0.18,0.8
SC00006,Urban,Concrete,8.22,1.59,106.45,Mist,Night_Streetlights,24.31,Moderate,26.38,93.55,71.389,1.043,0.9,0.45,0.95
SC00007,Rural,Asphalt,8.42,0.0,64.98,Cloudy,Daylight,59.61,Moderate,28.27,64.87,21924.064,1.149,1.15,0.18,0.8
SC00008,Urban,Concrete,12.04,0.0,32.01,Clear,Daylight,21.67,Moderate,25.16,73.0,30725.235,1.084,0.9,0.45,0.95
SC00009,Urban,Dirt,11.13,5.0,146.48,Rainy,Night_Streetlights,28.36,Moderate,20.67,96.4,173.98,0.921,2.0,0.24,0.72
SC00010,Urban,Concrete,8.96,0.0,138.47,Mist,Night_Dark,22.92,Moderate,23.66,87.54,2.866,0.968,0.9,0.45,0.95
SC00011,Urban,Asphalt,15.46,0.0,25.57,Clear,Night_Dark,21.37,Moderate,31.31,67.59,0.642,0.817,1.0,0.18,0.8
SC00012,Rural,Asphalt,10.56,3.41,279.47,Rainy,Daylight,48.53,Severe,18.56,88.49,37829.627,0.881,1.15,0.18,0.8
SC00013,Rural,Asphalt,10.94,3.36,188.33,Rainy,Daylight,51.85,Severe,18.75,82.54,15921.988,1.16,1.15,0.18,0.8
SC00014,Rural,Asphalt,8.32,0.0,100.49,Mist,Dawn,40.36,Moderate,26.22,87.99,3064.152,1.121,1.15,0.18,0.8
SC00015,Urban,Gravel,10.1,0.0,53.44,Clear,Daylight,36.9,Moderate,34.31,39.87,27026.84,0.737,1.55,0.32,0.9
SC00016,Urban,Dirt,10.09,0.0,22.53,Clear,Daylight,43.65,Moderate,25.87,63.02,31392.17,0.578,2.0,0.24,0.72
SC00017,Rural,Mud,14.93,7.36,290.96,Thunderstorm,Night_Dark,40.79,Severe,18.4,84.7,4.45,0.999,2.7025,0.12,0.62
