Observable NTU Range,Samples,Fixed Fusion MAE (cm),Adaptive Fusion MAE (cm),Adaptive Improvement (%),Adaptive Win Rate (%)
0–50,6353,0.101,0.088,12.038,17.456
50–100,7473,0.124,0.102,18.177,24.073
100–150,6276,0.172,0.123,28.71,34.481
150–200,4032,0.224,0.149,33.391,42.063
200–250,2320,0.305,0.192,37.131,49.267
250–300,1375,0.346,0.219,36.859,54.109
300–350,934,0.41,0.247,39.746,61.242
350–400,671,0.459,0.288,37.329,60.954
400–450,424,0.504,0.336,33.35,65.33
450–500,142,0.488,0.31,36.579,66.901
