experiment,accuracy,precision,recall,specificity,f1,balanced_accuracy,mcc,roc_auc,pr_auc,brier_score
baseline_dataset,0.8829,1.0,0.8017,1.0,0.8899,0.9008,0.7896,0.9988,0.9992,0.0303
baseline_registry,0.8868,1.0,0.8082,1.0,0.894,0.9041,0.7958,0.9989,0.9993,0.0291
complex_environment,0.7637,0.9975,0.6045,0.9978,0.7528,0.8011,0.6156,0.966,0.9773,0.0923
compound_fault,0.7901,0.7816,0.8944,0.6399,0.8342,0.7671,0.5611,0.839,0.8571,0.1976
flood_severity,0.8249,0.9715,0.7391,0.9647,0.8395,0.8519,0.6844,0.9537,0.9711,0.0799
high_speed,0.4093,—,0.0,1.0,—,0.5,—,0.8228,0.8482,0.5904
muddy_water,0.82,0.9494,0.7341,0.9437,0.828,0.8389,0.6692,0.9367,0.9536,0.0996
sensor_failure,0.7502,0.7726,0.8175,0.6532,0.7944,0.7354,0.4781,0.8071,0.8317,0.2069
stress_test,0.7764,0.7771,0.8711,0.64,0.8214,0.7555,0.5313,0.862,0.9013,0.2013
uncertainty_analysis,0.8743,0.9963,0.7901,0.9958,0.8813,0.8929,0.7745,0.9876,0.9917,0.0463
