experiment,n,mae,rmse,median_ae,max_ae,bias,r2,mape_percent
baseline_dataset,30000,0.1354,0.2111,0.092,3.235,-0.0237,0.9963,1.3437
baseline_registry,30000,0.1397,0.2157,0.096,2.729,-0.0241,0.9962,1.3939
complex_environment,11179,1.046,1.3688,0.832,8.467,-0.5172,0.8444,10.1245
compound_fault,30000,1.9388,2.6257,1.3985,12.345,1.0881,0.4338,22.5629
flood_severity,10049,0.9709,1.5123,0.546,9.492,-0.1149,0.7996,9.5958
high_speed,10227,5.5491,6.4328,5.261,14.879,-5.5274,-2.4356,45.4982
muddy_water,11005,1.3549,1.8488,1.014,11.051,-0.0841,0.7193,13.7168
sensor_failure,30000,2.2011,2.9354,1.654,15.241,0.9846,0.2923,24.5597
stress_test,30000,2.0659,2.5805,1.756,10.89,0.8563,0.4531,23.1286
uncertainty_analysis,30000,0.5585,0.706,0.467,4.077,-0.0403,0.9591,5.6852
