experiment,avg_total_ms,p95_total_ms,throughput_sps,peak_process_rss_mb,mean_process_cpu_percent,mean_system_cpu_percent,rank_f1,rank_mae,rank_ece,rank_total_ms,rank_robustness,rank_overall
baseline_dataset,2.6577,2.8992,376.2649,211.4844,20.0815,1.8349,2.0,1.0,5.0,1.0,2.0,2.2
baseline_registry,2.8481,3.1095,351.1165,108.3086,17.8204,1.7243,1.0,2.0,4.0,2.0,1.0,2.0
complex_environment,3.188,3.4693,313.6725,129.7383,21.3534,1.919,9.0,5.0,6.0,9.0,6.0,7.0
compound_fault,2.9461,3.213,339.4341,212.1445,21.0816,1.8935,5.0,7.0,9.0,3.0,7.0,6.2
flood_severity,2.9855,3.2308,334.9541,118.6406,21.116,1.8807,4.0,4.0,2.0,4.0,4.0,3.6
high_speed,2.9919,3.2648,334.2401,126.7891,21.0118,1.8949,—,10.0,10.0,5.0,10.0,8.75
muddy_water,3.0454,3.2925,328.367,128.9336,21.5368,1.9259,6.0,6.0,3.0,6.0,5.0,5.2
sensor_failure,3.0771,3.421,324.9861,212.2617,21.4008,1.9261,8.0,9.0,7.0,7.0,9.0,8.0
stress_test,3.3485,3.6418,298.6414,200.1406,22.1725,1.9779,7.0,8.0,8.0,10.0,8.0,8.2
uncertainty_analysis,3.0914,3.3734,323.4737,200.3594,21.6254,1.9382,3.0,3.0,1.0,8.0,3.0,3.6
