experiment,ece,mce,interval_coverage_95,interval_width_95_mean,winkler_score_95,confidence_error_pearson,confidence_error_spearman,r_lidar_pearson,r_ultrasonic_pearson,r_radar_pearson
baseline_dataset,0.0767,0.3315,1.0,4.2562,4.2562,-0.5156,-0.3796,-0.3958,-0.3999,-0.4404
baseline_registry,0.0735,0.3334,1.0,4.1083,4.1083,-0.5172,-0.3637,-0.4189,-0.4166,-0.4459
complex_environment,0.0916,0.299,0.9391,5.0664,6.8533,-0.2376,-0.1894,0.0259,0.0089,-0.0335
compound_fault,0.1945,0.3167,0.6762,4.7405,27.9779,-0.033,0.0187,-0.0808,-0.0569,-0.0491
flood_severity,0.0316,0.1185,0.912,5.1395,9.4358,-0.4407,-0.4669,0.0202,0.029,0.0231
high_speed,0.5905,0.5905,0.1609,4.3897,146.2998,-0.4352,-0.4542,-0.0187,-0.0504,-0.0871
muddy_water,0.0416,0.1121,0.8497,4.9066,12.5584,-0.0835,-0.0812,0.0904,0.0897,0.0819
sensor_failure,0.1714,0.2513,0.6199,4.808,34.5501,-0.0219,-0.0061,-0.104,-0.0953,-0.0913
stress_test,0.1831,0.3896,0.6146,4.584,26.0124,-0.0389,-0.0334,0.0256,0.0366,0.0383
uncertainty_analysis,0.0304,0.1206,0.9979,4.3703,4.3915,-0.1406,-0.0927,-0.1245,-0.1248,-0.1379
