Experiment,Samples,Single_RMSE_cm,Oracle_Best_Single_RMSE_cm,Fixed_RMSE_cm,Adaptive_RMSE_cm,Single_Failure_Rate_%,Adaptive_Gain_%,Adaptive_Gain_vs_Single_%,Single_Degradation_%,Fixed_Degradation_%,Adaptive_Degradation_%,Adaptive_Win_Rate_%,Mean_Fixed_Confidence,Mean_Adaptive_Confidence,Mean_Fixed_Entropy,Mean_Adaptive_Entropy,Mean_Fixed_Variance,Mean_Adaptive_Variance,Mean_Fixed_Hazard_Prob,Mean_Adaptive_Hazard_Prob,Mean_Fixed_CI_Width,Mean_Adaptive_CI_Width,Mean_W_Lidar,Mean_W_Ultrasonic,Mean_W_Radar,Mean_Sigma_Lidar,Mean_Sigma_Ultrasonic,Mean_Sigma_Radar,Fixed_Predicted_Hazard_Rate_%,Adaptive_Predicted_Hazard_Rate_%,Mean_Context_Difficulty,Mean_Adaptation_Gate,Mean_Measurement_Consistency,Mean_Active_Sensor_Count,Mean_Weight_Entropy,Oracle_Best_Single_Degradation_%
Baseline (No Faults),24000,0.5757829958702613,0.1195853426079746,0.30901019757984255,0.18882078771946695,0.0,38.89496553890292,67.20625842135617,0.0,0.0,0.0,34.575,0.835388825,0.8152474783333333,3.3440683800000004,3.5434870879166667,0.47329934166666665,0.7438591520833333,0.5838381183333333,0.5895702991666667,2.694854125,3.331428041666667,0.2645329921535903,0.32343209272540774,0.412034915121002,1.241037149349601,1.0479175958274622,0.7372460556972874,50.9375,49.795833333333334,0.19319232640135486,0.19570541094318225,0.7652498872448537,3.0,1.047048655346818,0.0
LiDAR Low Dropout (10%),24000,0.5753650823466588,0.12131714635615198,0.3163239326623896,0.19517071917938922,10.104166666666666,38.300362689378424,66.07880367307406,-0.0725817758773477,2.366826447744442,3.3629408798762297,33.125,0.8359040733333333,0.81619589625,3.3367536587500006,3.534481664166667,0.4668512745833333,0.7316871879166666,0.5834411266666666,0.5892506133333333,2.675615791666667,3.302698458333333,0.2376667216893408,0.33803758642155285,0.4242956918891064,1.4034125158630086,1.0419139627521545,0.7352023745223308,50.94166666666666,49.82083333333333,0.19286761870699706,0.1945187417645428,0.7858612742370736,2.8989583333333333,1.0106273147591351,1.4481739236677147
LiDAR High Dropout (50%),24000,0.5856045872072209,0.13075984666555707,0.33990200787628977,0.21256970347002258,49.833333333333336,37.461474617887774,63.700813123104325,1.7057800260521494,9.997019690091406,12.577490030303043,26.674999999999997,0.8379305041666668,0.82002952875,3.3079729125,3.4986322062499995,0.44144175375,0.682961945,0.5825396429166667,0.5882023129166667,2.60037675,3.188554166666666,0.13254415185003257,0.39424279920807387,0.47321304894189353,2.044084118487208,1.0199124376274837,0.7267458761535578,51.075,50.02916666666667,0.19145334307984188,0.18966413066403773,0.8662856396434486,2.5016666666666665,0.8667778493145502,9.344376002847437
Ultrasonic High Dropout (50%),24000,0.5757829958702613,0.14005815756320658,0.274658179303536,0.19523483530524635,0.0,28.91715957620022,66.0922888127044,0.0,-11.11679114325366,3.3968969535858635,29.34583333333333,0.8363650466666667,0.8193448933333333,3.330363132083334,3.5127912320833334,0.4606421345833334,0.6958862029166667,0.5891118041666666,0.5918068262500001,2.6580098750000003,3.226844333333333,0.3479262130457914,0.16072927438029466,0.4913445125739139,1.1974467744250208,1.9550124794847732,0.7275220822794778,51.583333333333336,50.366666666666674,0.20507976795516475,0.20378365867827047,0.876402556697027,2.4967083333333333,0.8588137502890868,17.119836351806168
Radar High Dropout (50%),24000,0.5757829958702613,0.254456782512604,0.46333915628835,0.45135310853403166,0.0,2.5868842707649446,21.61055262636948,0.0,49.94299861855907,139.03782734166523,25.5375,0.8313173395833334,0.7981543704166667,3.3993209587499997,3.626625357083333,0.5339799895833333,0.9195729591666667,0.5785469016666666,0.5802014433333333,2.8526169999999995,3.658743291666667,0.3665616246071517,0.42774643237568566,0.20569194301716273,1.1980011356550682,1.0207443576452855,1.7955597253892381,50.00416666666667,47.829166666666666,0.1995860980177578,0.19617506670878926,0.8639058979224368,2.499125,0.8671893030225877,112.7825843563168
Radar Severe Noise,24000,0.5757829958702613,0.31978812716204863,1.5588369790354388,0.7645980308578271,0.0,50.950738201570175,-32.79274246405684,0.0,404.46133857205933,304.93318563727127,74.12916666666666,0.8226047620833333,0.7655335241666666,3.4543388862499995,3.8085324787500006,0.7472937108333334,1.3057760716666666,0.5748269404166667,0.5749135425,3.1885772500000003,4.379373666666668,0.3733278510382854,0.43743642989659914,0.18923571906511544,1.2367666021106072,1.064205218891539,1.434619224579915,49.84166666666667,45.516666666666666,0.3088581012293211,0.3199156946730439,0.6163056566099822,3.0,1.0153557744404484,167.41414975109453
Ultrasonic High Delay,24000,0.5757829958702613,0.15614345700882462,1.0459366947462294,0.32239746367385297,0.0,69.17619725043926,44.00712317206092,0.0,238.47966925945175,70.74256895530078,78.61666666666667,0.82854474625,0.8103511575,3.4092043625,3.597586065833333,0.5928523004166667,0.8187048454166667,0.6028766925,0.5972143770833334,2.9437744583333334,3.5069193750000003,0.3414127016806193,0.14653493246682434,0.5120523658525564,1.2506329637441265,1.6344086829581241,0.775173748285393,51.520833333333336,49.84166666666667,0.3172285663161484,0.337514244764238,0.6142883480909488,3.0,0.9367815501923521,30.57073183349489
Radar High Sync Error,24000,0.5757829958702613,0.3214067127488161,1.5969271981944992,1.0543844267509834,0.0,33.97417064828752,-83.1218417899516,0.0,416.78786354029063,458.4048448720029,70.80416666666667,0.8222806945833333,0.7724350662500001,3.456731624583333,3.776060401666667,0.7517059820833333,1.2191920075000002,0.5929972087500001,0.5907858029166667,3.195279583333333,4.2373636249999995,0.36517803062553955,0.4216398950116449,0.21318207436281558,1.22877467610678,1.0565967515966093,1.1439158360583466,49.8875,45.65,0.29161444634878625,0.2963365095915197,0.616306930078627,3.0,1.0304700527915986,168.7676480573824
Compound Scenario A,24000,0.5867013847293168,0.5940601967552404,2.988968630453209,1.3017735319235317,49.6125,56.44740066321313,-121.88008513464203,1.8962680276017891,867.2718421148268,589.4227842421623,83.24166666666667,0.8117810212500002,0.7649456229166666,3.4390997904166665,3.8129137291666666,2.0426425549999996,1.3200623579166668,0.5707867299999999,0.5721554291666666,3.5487557916666663,4.39968725,0.1883649359590021,0.5122997177481626,0.29933534629283515,2.037168349322169,1.077734449959521,1.3712644415878816,48.858333333333334,45.79166666666667,0.3019562361865157,0.307722545075713,0.6421419339187784,2.503875,0.8458739480244215,396.76673060401066
Compound Scenario C,24000,0.5726535448021444,1.6864588411776535,3.4139833737268455,3.103015851111625,29.3875,9.108641975480849,-441.8661735838442,-0.5435122416887164,1004.8125273745165,1543.3655894507804,57.4375,0.7926453499999999,0.7439233070833334,3.5400394250000002,3.8965107270833337,3.4883005454166667,1.5439010616666669,0.5877799199999999,0.6098795525,4.286213291666667,4.775843541666666,0.2857076546016255,0.2642494923217316,0.4500428530766429,1.741274770069355,1.9818050976088664,1.0933741630517706,46.87916666666666,45.69166666666667,0.3181326247464735,0.33391435042154427,0.6167817475705717,2.706125,0.888763099910387,1310.2554747919344
